C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.5902154398563735,0.5902154398563735,0.74230877787186,1.0
0.001,Train,1,0.5902154398563735,0.0,0.0,0.0
0.001,Validation,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Validation,1,0.5865248704314464,0.0,0.0,0.0
0.001,Test,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Test,1,0.5865248704314464,0.0,0.0,0.0
0.001,Train,0,0.583641871423763,0.583641871423763,0.7370882040382571,1.0
0.001,Train,1,0.583641871423763,0.0,0.0,0.0
0.001,Validation,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Validation,1,0.5865248704314464,0.0,0.0,0.0
0.001,Test,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Test,1,0.5865248704314464,0.0,0.0,0.0
0.001,Train,0,0.5863874345549738,0.5863874345549738,0.7392739273927392,1.0
0.001,Train,1,0.5863874345549738,0.0,0.0,0.0
0.001,Validation,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Validation,1,0.5865248704314464,0.0,0.0,0.0
0.001,Test,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Test,1,0.5865248704314464,0.0,0.0,0.0
0.001,Train,0,0.5872552869243283,0.5872552869243283,0.7399632456884365,1.0
0.001,Train,1,0.5872552869243283,0.0,0.0,0.0
0.001,Validation,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Validation,1,0.5865248704314464,0.0,0.0,0.0
0.001,Test,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Test,1,0.5865248704314464,0.0,0.0,0.0
0.001,Train,0,0.5866541015975588,0.5866541015975588,0.7394858161043075,1.0
0.001,Train,1,0.5866541015975588,0.0,0.0,0.0
0.001,Validation,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Validation,1,0.5865248704314464,0.0,0.0,0.0
0.001,Test,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Test,1,0.5865248704314464,0.0,0.0,0.0
0.001,Train,0,0.6188998167607793,0.6142535821392869,0.7432027214312713,0.9406774255278434
0.001,Train,1,0.6188998167607793,0.6597145993413831,0.2613611654707545,0.16296095444685466
0.001,Validation,0,0.6181597899979807,0.6145213527152218,0.7420308307944159,0.9363093871930227
0.001,Validation,1,0.6181597899979807,0.6487341772151899,0.26544089084552636,0.16685658473058765
0.001,Test,0,0.6178232483004644,0.613622754491018,0.7427743046117604,0.9407849437686482
0.001,Test,1,0.6178232483004644,0.655310621242485,0.2568062827225131,0.15969396060556731
0.001,Train,0,0.6489839092249503,0.6453709575142677,0.7483627840713252,0.8904686389238257
0.001,Train,1,0.6489839092249503,0.6642641635936977,0.4198760396249404,0.3069475640926342
0.001,Validation,0,0.6452177424782931,0.6432553882000499,0.7457430900583667,0.8870782648611429
0.001,Validation,1,0.6452177424782931,0.6535211267605634,0.41322498051875767,0.30213250854631285
0.001,Test,0,0.6443427340647506,0.6421820593599735,0.7456680785521755,0.8889143906357585
0.001,Test,1,0.6443427340647506,0.6536672629695885,0.40881628999776237,0.29741168810027674
0.001,Train,0,0.6744916561492077,0.6792715462243359,0.7517008258097643,0.8414196082187845
0.001,Train,1,0.6744916561492077,0.6618668300653595,0.5275968739824162,0.4386166756903086
0.001,Validation,0,0.6748334118597294,0.6806550665301945,0.7517599301166435,0.8394537525820519
0.001,Validation,1,0.6748334118597294,0.659610705596107,0.5288208329269483,0.4413153182484128
0.001,Test,0,0.6725449283166184,0.6790732297385317,0.750012846205231,0.8375028689465228
0.001,Test,1,0.6725449283166184,0.6554744525547446,0.5255047303228323,0.4385479407455641
0.001,Train,0,0.693558037495014,0.7089352196574833,0.7559949182150231,0.8097465555366559
0.001,Train,1,0.693558037495014,0.6623905825535769,0.5881801125703565,0.5289226319595083
0.001,Validation,0,0.6928720468466043,0.7083207869115729,0.7556888151202014,0.809846224466376
0.001,Validation,1,0.6928720468466043,0.6614221495709032,0.5865724381625441,0.5269412339247924
0.001,Test,0,0.6875546880258464,0.7046642541214314,0.7512592433822741,0.8044526050034427
