C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6050269299820467,0.5992697398448197,0.749001711351968,0.9984790874524715
0.001,Train,1,0.6050269299820467,0.9459459459459459,0.07368421052631578,0.038335158817086525
0.001,Validation,0,0.6002557716901123,0.5950537781735973,0.745227574964609,0.9967867798944228
0.001,Validation,1,0.6002557716901123,0.8923076923076924,0.07246603154771201,0.037766563568289106
0.001,Test,0,0.6005923133876288,0.5952576754385965,0.7453874538745388,0.9967867798944228
0.001,Test,1,0.6005923133876288,0.8943396226415095,0.07397003745318352,0.038580498127950516
0.001,Train,0,0.6886570178391114,0.6744787922358015,0.7717364481368759,0.9017685505574778
0.001,Train,1,0.6886570178391114,0.7390194075587334,0.5104956782501323,0.389921853947723
0.001,Validation,0,0.6802853873594938,0.6710685309856723,0.7660098522167488,0.8922423686022493
0.001,Validation,1,0.6802853873594938,0.7129318251299297,0.49543233482048016,0.37961907862607847
0.001,Test,0,0.6811603957730363,0.6712305175234651,0.7669602007182565,0.8945375258205187
0.001,Test,1,0.6811603957730363,0.716707768187423,0.49536593160754233,0.3784795702425525
0.001,Train,0,0.7091249065071055,0.7088045661135186,0.775215305473672,0.8553571428571428
0.001,Train,1,0.7091249065071055,0.7099002302379125,0.5879860154677402,0.5018083182640145
0.001,Validation,0,0.695833613784748,0.6994390035181135,0.7650148198221621,0.8441588248795042
0.001,Validation,1,0.695833613784748,0.6870967741935484,0.5689211103691691,0.48543057138206086
0.001,Test,0,0.6987278723833883,0.7006628787878788,0.7677700529210335,0.8490934128987836
0.001,Test,1,0.6987278723833883,0.6939725389806842,0.5712643678160919,0.48543057138206086
0.001,Train,0,0.7121220620407247,0.7197200494030466,0.7730609357035465,0.8349412551342057
0.001,Train,1,0.7121220620407247,0.6958817317845829,0.6064417177914111,0.5373742864908942
0.001,Validation,0,0.7007471225684863,0.7114965312190288,0.7635609444798979,0.8238466834978196
0.001,Validation,1,0.7007471225684863,0.6779945458359555,0.5924839596700275,0.526127299365131
0.001,Test,0,0.7034394561486168,0.7125098658247829,0.7662599469496021,0.8287812715170989
0.001,Test,1,0.7034394561486168,0.6839652615971192,0.594440353460972,0.5256389386293342
0.001,Train,0,0.7114970382337102,0.7249762968982798,0.7690649807823556,0.8188633060506387
