C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.5902154398563735,0.5902154398563735,0.74230877787186,1.0
0.001,Train,1,0.5902154398563735,0.0,0.0,0.0
0.001,Validation,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Validation,1,0.5865248704314464,0.0,0.0,0.0
0.001,Test,0,0.5865248704314464,0.5865248704314464,0.7393831402995206,1.0
0.001,Test,1,0.5865248704314464,0.0,0.0,0.0
0.001,Train,0,0.6443397284864805,0.6271589486858573,0.7597028502122498,0.9632833525567089
0.001,Train,1,0.6443397284864805,0.7930660888407367,0.3159257660768235,0.19725141471301536
0.001,Validation,0,0.6458908258733257,0.6299781675826244,0.7608310224121471,0.9602937801239385
0.001,Validation,1,0.6458908258733257,0.7801778907242694,0.31825839056628225,0.19990232785284062
0.001,Test,0,0.6452850508177963,0.6291048133153396,0.7610194086704154,0.9629332109249483
0.001,Test,1,0.6452850508177963,0.7873601053324556,0.31219002871312973,0.19469314667100765
0.001,Train,0,0.637397157816006,0.6364216669706365,0.7422099330001064,0.8901785714285714
0.001,Train,1,0.637397157816006,0.641846921797005,0.38895891101588104,0.2790235081374322
0.001,Validation,0,0.6358618832873393,0.6352546258392009,0.7414946483180428,0.8904062428276337
0.001,Validation,1,0.6358618832873393,0.638668180098373,0.38424766674254496,0.27478430734168974
0.001,Test,0,0.6358618832873393,0.6348791639451339,0.7419139395095887,0.8923571264631627
0.001,Test,1,0.6358618832873393,0.6404752778842469,0.38185557586837293,0.27201692983884096
0.001,Train,0,0.6368429909687553,0.636097295087552,0.742543545693152,0.891775718788805
0.001,Train,1,0.6368429909687553,0.6403174603174603,0.3838979824895318,0.2741234030986681
0.001,Validation,0,0.638083058490947,0.6360596917556879,0.7436716403680221,0.895111315125086
0.001,Validation,1,0.638083058490947,0.6476484194294526,0.3845713631681355,0.27348201204623146
0.001,Test,0,0.6378811334724372,0.6353523871386814,0.7441749881122206,0.8979802616479229
0.001,Test,1,0.6378811334724372,0.650137741046832,0.380469829571626,0.2689239785121276
0.001,Train,0,0.6467420570813139,0.6457597668292137,0.7453580901856764,0.881282031668324
0.001,Train,1,0.6467420570813139,0.6506864731037587,0.42346565109125534,0.31386385843013787
0.001,Validation,0,0.6479773843979268,0.6456034770979605,0.7470741851242867,0.8863897176956621
0.001,Validation,1,0.6479773843979268,0.6577946768060836,0.4212040725984949,0.3097834934071301
0.001,Test,0,0.6460927508918355,0.6435454394417678,0.7466268311488049,0.889029148496672
0.001,Test,1,0.6460927508918355,0.6569705569350833,0.41330060254407497,0.30148136089858374
0.001,Train,0,0.6579409894917916,0.6549302458005125,0.7511088133656227,0.8803980353383938
0.001,Train,1,0.6579409894917916,0.6691371095817893,0.4532902994441456,0.34273318872017355
0.001,Validation,0,0.6596217271319916,0.6555508294342833,0.7529434754995359,0.8843240761992196
0.001,Validation,1,0.6596217271319916,0.6750483558994197,0.4530016224986479,0.3408757935861957
0.001,Test,0,0.6584101770209329,0.6539209880720751,0.7528609690771852,0.8870782648611429
0.001,Test,1,0.6584101770209329,0.6758893280632411,0.44710752805316484,0.3340387432850399
0.001,Train,0,0.6646259375601,0.6606043189095985,0.7546488451166607,0.8799146934981135
0.001,Train,1,0.6646259375601,0.6789473684210526,0.47025467064958737,0.35969328479591045
0.001,Validation,0,0.6676314195328801,0.6622550704709522,0.7573464373464374,0.8843240761992196
0.001,Validation,1,0.6676314195328801,0.6870537100279416,0.4726612558735583,0.3602474361061371
0.001,Test,0,0.6663525610823181,0.660706647275216,0.7570455325197275,0.8862749598347487
0.001,Test,1,0.6663525610823181,0.6871843434343434,0.46761894533347653,0.35438710727657496
0.001,Train,0,0.6776609171224233,0.6735962121772583,0.760127731513368,0.8721682072896212
0.001,Train,1,0.6776609171224233,0.6904071453427677,0.508783177330427,0.402815376285869
0.001,Validation,0,0.6761122703102914,0.6729303315015068,0.7593518703740748,0.8712416800550837
0.001,Validation,1,0.6761122703102914,0.6861538461538461,0.5048363860876723,0.3993162949698844
0.001,Test,0,0.6790738372484351,0.6743857168110305,0.7619332933892551,0.8756024787697957
0.001,Test,1,0.6790738372484351,0.694044594976009,0.5077431344208135,0.4002930164414781
