C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.5931065353625783,0.5931065353625783,0.7445911772969935,1.0
0.001,Train,1,0.5931065353625783,0.0,0.0,0.0
0.001,Validation,0,0.5883458646616542,0.5883458646616542,0.7408284023668639,1.0
0.001,Validation,1,0.5883458646616542,0.0,0.0,0.0
0.001,Test,0,0.5884801288936627,0.5884801288936627,0.7409348322204379,1.0
0.001,Test,1,0.5884801288936627,0.0,0.0,0.0
0.001,Train,0,0.5966875559534467,0.5930863081789426,0.7444696539988656,0.9996191926884996
0.001,Train,1,0.5966875559534467,0.9761904761904762,0.0435244161358811,0.02225841476655809
0.001,Validation,0,0.5957303974221267,0.5928232904536223,0.744114897594969,0.9990871748060246
0.001,Validation,1,0.5957303974221267,0.9365079365079365,0.03771172898689677,0.019243313763861708
0.001,Test,0,0.5938506981740065,0.5918312144982418,0.7431434151311879,0.9984029203741729
0.001,Test,1,0.5938506981740065,0.8703703703703703,0.03013786470022443,0.01533442088091354
0.001,Train,0,0.6330945986272755,0.619933237958989,0.7603080222243883,0.9828629032258065
0.001,Train,1,0.6330945986272755,0.8345498783454988,0.2181240063593005,0.12545720555961962
0.001,Validation,0,0.6368152524167562,0.6203876525484565,0.7616109985018067,0.9860794157918759
0.001,Validation,1,0.6368152524167562,0.8737060041407867,0.23781346858269936,0.13763861709067188
0.001,Test,0,0.6302363050483352,0.6165402775790528,0.7578262398874428,0.9831165868126853
0.001,Test,1,0.6302363050483352,0.8387799564270153,0.2185017026106697,0.12561174551386622
0.001,Train,0,0.6754700089525515,0.661100465370928,0.7691082802547771,0.9192995812714122
0.001,Train,1,0.6754700089525515,0.7398773006134969,0.45406626506024095,0.32753938077131994
0.001,Validation,0,0.6785714285714286,0.6644062189877605,0.7704257767548907,0.916704701049749
0.001,Validation,1,0.6785714285714286,0.739657631954351,0.464189794091316,0.3382257012393999
0.001,Test,0,0.6736036519871106,0.6601575319986872,0.7679679297508829,0.917864476386037
0.001,Test,1,0.6736036519871106,0.7341211225997046,0.4498755374519122,0.3243066884176183
0.001,Train,0,0.6857040551427804,0.6783896344285053,0.7696043047444058,0.889158453373768
0.001,Train,1,0.6857040551427804,0.7107241788682231,0.5057018161340279,0.3924825174825175
0.001,Validation,0,0.6840762620837809,0.6767113743250305,0.7675590240047416,0.8865814696485623
0.001,Validation,1,0.6840762620837809,0.7088459285295841,0.5070186465535302,0.39465101108936723
0.001,Test,0,0.6821965628356605,0.6739130434782609,0.7674624226348364,0.891170431211499
0.001,Test,1,0.6821965628356605,0.7112590799031477,0.4981980072079712,0.3833605220228385
0.001,Train,0,0.6998135024244685,0.698080457422912,0.7726296756695672,0.865005060728745
0.001,Train,1,0.6998135024244685,0.7045139850456937,0.5583845478489904,0.46246137065988
0.001,Validation,0,0.6945488721804511,0.6945521698984303,0.767786056956211,0.8582838886353263
0.001,Validation,1,0.6945488721804511,0.6945400885391048,0.5538340851147284,0.46053489889106325
0.001,Test,0,0.6940118152524167,0.6923217550274223,0.7686998883588755,0.8640200775724389
0.001,Test,1,0.6940118152524167,0.698685540950455,0.5480864564743209,0.4508972267536705
0.001,Train,0,0.7016433275784897,0.7046857973120233,0.7688496978103636,0.8458687595378243
0.001,Train,1,0.7016433275784897,0.6944024205748865,0.5793364587089794,0.49698375870069605
0.001,Validation,0,0.6976369495166488,0.7037107880642693,0.7656607700312175,0.8395709721588316
0.001,Validation,1,0.6976369495166488,0.6833333333333333,0.573968974650019,0.49478147423352903
0.001,Test,0,0.6961600429645542,0.7000755001887504,0.7662431566986881,0.8462240474560803
0.001,Test,1,0.6961600429645542,0.6865116279069767,0.5660594439117929,0.48156606851549755
0.001,Train,0,0.7046942315224081,0.7098303994855719,0.7699215344376634,0.8411277264501381
0.001,Train,1,0.7046942315224081,0.6929307805596465,0.5878494455723879,0.510442093843233
0.001,Validation,0,0.6988453276047261,0.7085201793721974,0.7641678056986647,0.8293016887266088
0.001,Validation,1,0.6988453276047261,0.6774471755066839,0.5834726090993501,0.5123939986953686
0.001,Test,0,0.69656283566058,0.7033914543015903,0.7646323682566132,0.837554186630162
0.001,Test,1,0.69656283566058,0.680574248541947,0.573101624480544,0.49494290375203914
0.001,Train,0,0.7060725120604765,0.7137801531128124,0.7698239601183985,0.8354184277261201
0.001,Train,1,0.7060725120604765,0.6890273119310014,0.5934791580685101,0.5212033345415006
0.001,Validation,0,0.700187969924812,0.712142152023692,0.7636286651847147,0.8231401186672752
0.001,Validation,1,0.700187969924812,0.6747796894670584,0.5902000367039824,0.5244618395303327
0.001,Test,0,0.6970998925886144,0.705745792222867,0.7638190954773869,0.8323066392881588
0.001,Test,1,0.6970998925886144,0.6774901272487933,0.5778443113772455,0.5037520391517128
0.001,Train,0,0.7065168740488765,0.7170905257609699,0.7685083848190645,0.8278694759260667
0.001,Train,1,0.7065168740488765,0.6841150195421553,0.5991808790268354,0.5330070690592713
0.001,Validation,0,0.7043501611170784,0.7190514469453376,0.7646933105364394,0.8165221360109539
0.001,Validation,1,0.7043501611170784,0.6747572815533981,0.6023835319609967,0.5440313111545988
0.001,Test,0,0.7007250268528464,0.7116745283018868,0.7646499841621793,0.8261464750171116
0.001,Test,1,0.7007250268528464,0.6771186440677966,0.5891244239631337,0.5213703099510604
0.01,Train,0,0.6987466427931961,0.7052896725440806,0.7689667009955372,0.8452830188679246
0.01,Train,1,0.6987466427931961,0.6826625386996904,0.5672025723472669,0.48514851485148514
0.01,Validation,0,0.7016648764769066,0.7096273291925466,0.7669393748688903,0.8343222272934733
0.01,Validation,1,0.7016648764769066,0.6837979094076655,0.5856023871689668,0.5120678408349641
0.01,Test,0,0.6948174006444683,0.7026507875528236,0.7629575555323809,0.8345881816107689
0.01,Test,1,0.6948174006444683,0.6766280107047279,0.5716977576785378,0.49494290375203914
0.01,Train,0,0.6994180841539839,0.7215889464594127,0.7567469661293243,0.7955064737242955
0.01,Train,1,0.6994180841539839,0.6586141131595677,0.6067349926793558,0.5624321389793703
0.01,Validation,0,0.7128088077336198,0.735164604738939,0.7662550540924489,0.8000912825193975
0.01,Validation,1,0.7128088077336198,0.6730123180291153,0.6276762402088772,0.5880626223091977
0.01,Test,0,0.7040816326530612,0.7233955300389584,0.7619870410367171,0.8049281314168378
0.01,Test,1,0.7040816326530612,0.6674445740956826,0.6089425124201562,0.5598694942903752
0.01,Train,0,0.7029245001492092,0.7329719538062691,0.7575203994641335,0.7837701612903226
0.01,Train,1,0.7029245001492092,0.651077673851159,0.6165992682457154,0.5855888807607901
0.01,Validation,0,0.7158968850698174,0.7424047924689773,0.7663427561837456,0.7918758557736193
0.01,Validation,1,0.7158968850698174,0.6712328767123288,0.6376712328767123,0.6073059360730594
0.01,Test,0,0.7064983888292159,0.729475663254648,0.7616139585605235,0.7967145790554415
0.01,Test,1,0.7064983888292159,0.6651634723788049,0.6182326231225986,0.5774877650897227
0.01,Train,0,0.7078111011638317,0.74049135577798,0.7570936831333147,0.774457556147697
0.01,Train,1,0.7078111011638317,0.6556233653007847,0.6334409658851607,0.6127104834329169
0.01,Validation,0,0.7169709989258861,0.7490144546649146,0.7644166294143943,0.7804655408489274
0.01,Validation,1,0.7169709989258861,0.666204024982651,0.6455951580363147,0.6262230919765166
0.01,Test,0,0.7069011815252417,0.736457437661221,0.7583840619811842,0.7816563997262149
0.01,Test,1,0.7069011815252417,0.657725321888412,0.6275379628049821,0.6
0.01,Train,0,0.7100528153253961,0.7437536316095293,0.7597002745010758,0.7763457164518575
0.01,Train,1,0.7100528153253961,0.655936552367623,0.634548121403588,0.6145104895104895
0.01,Validation,0,0.7150912996777659,0.7471566054243219,0.7630109448291267,0.7795527156549521
0.01,Validation,1,0.7150912996777659,0.6641168289290682,0.6428811847862672,0.6229615133724723
0.01,Test,0,0.7060955961331902,0.7348030821917808,0.7582551076753175,0.7832534793520419
0.01,Test,1,0.7060955961331902,0.6577809798270894,0.6252354048964218,0.5957585644371941
0.01,Train,0,0.7130175307721,0.7475894055901379,0.7610113685779959,0.7749240890688259
0.01,Train,1,0.7130175307721,0.658672294704528,0.6409035750956782,0.6240683512088712
0.01,Validation,0,0.7176423200859291,0.7517119505191076,0.7639465708833764,0.7765860337745322
0.01,Validation,1,0.7176423200859291,0.6648408079424855,0.6487389343577752,0.6333985649054142
0.01,Test,0,0.7085123523093448,0.7389801210025929,0.7590722450338475,0.7802874743326489
0.01,Test,1,0.7085123523093448,0.6585106382978724,0.6310960067969413,0.6058727569331158
0.01,Train,0,0.7120020461666347,0.7466723008662581,0.7583690987124464,0.7704381948986265
0.01,Train,1,0.7120020461666347,0.6588368702413737,0.6436144959645513,0.6290796597061098
0.01,Validation,0,0.7183136412459721,0.7542297417631345,0.7635789948163173,0.7731629392971247
0.01,Validation,1,0.7183136412459721,0.6637347767253045,0.6516107605446696,0.639921722113503
0.01,Test,0,0.7078410311493019,0.7408862693734992,0.7572512271307452,0.7743554642938627
0.01,Test,1,0.7078410311493019,0.6550401116149285,0.6331759946055293,0.6127243066884176
0.01,Train,0,0.7120796732501539,0.745798512260079,0.7593977931550402,0.7735022383084104
0.01,Train,1,0.7120796732501539,0.6595074455899198,0.6415935367042763,0.6246270680770274
0.01,Validation,0,0.7183136412459721,0.7536650377609951,0.7638451148131472,0.7743039707895938
0.01,Validation,1,0.7183136412459721,0.6642905634758995,0.6510312707917498,0.6382909328114807
0.01,Test,0,0.7070354457572503,0.7391871332319061,0.7571237756010686,0.7759525439196897
0.01,Test,1,0.7070354457572503,0.6550755180892167,0.6309201623815968,0.6084828711256117
0.01,Train,0,0.7124384542696574,0.7463744500570311,0.7601228011948225,0.7743871513102283
0.01,Train,1,0.7124384542696574,0.6592620962594153,0.6410924891371819,0.623897547420563
0.01,Validation,0,0.7179108485499462,0.7531631520532741,0.7635872622932374,0.7743039707895938
0.01,Validation,1,0.7179108485499462,0.6639483520217465,0.6503577966383758,0.6373124592302675
0.01,Test,0,0.7071697099892589,0.7389322916666666,0.7574240907574241,0.7768651608487337
0.01,Test,1,0.7071697099892589,0.6556338028169014,0.6306519898391194,0.6075040783034258
0.01,Train,0,0.7134544803509086,0.74697912852435,0.7611372285650324,0.7758423975051343
0.01,Train,1,0.7134544803509086,0.660757453666398,0.6419863549938486,0.6242523110386079
0.01,Validation,0,0.7195220193340494,0.7556298773690078,0.764407353107026,0.7733911455956184
0.01,Validation,1,0.7195220193340494,0.6648666891663855,0.6535080444518162,0.6425309849967384
0.01,Test,0,0.7073039742212675,0.7391965255157438,0.757454383622608,0.7766370066164727
0.01,Test,1,0.7073039742212675,0.655645444952515,0.6310088016249153,0.6081566068515497
0.1,Train,0,0.7157564905998209,0.7474892395982783,0.7664582567120265,0.7864150943396226
0.1,Train,1,0.7157564905998209,0.6630952380952381,0.6369353916523728,0.6127612761276128
0.1,Validation,0,0.719656283566058,0.7530891438658429,0.7657617231321516,0.7788680967594706
0.1,Validation,1,0.719656283566058,0.6676954732510288,0.6509528585757272,0.6350293542074364
0.1,Test,0,0.7102577873254565,0.7395048439181916,0.7609658839167036,0.783709787816564
0.1,Test,1,0.7102577873254565,0.6617909382804138,0.6322426721199728,0.6052202283849919
0.1,Train,0,0.7070277529095792,0.7443413729128014,0.7539936102236422,0.763899466869764
0.1,Train,1,0.7070277529095792,0.6503102086858432,0.6378976486860304,0.6259500542888164
0.1,Validation,0,0.7189849624060151,0.7565568258238063,0.7633156168721023,0.7701962574167047
