C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6187275985663082,0.6187275985663082,0.7644616662053695,1.0
0.001,Train,1,0.6187275985663082,0.0,0.0,0.0
0.001,Validation,0,0.5844644537024594,0.5844644537024594,0.73774385072095,1.0
0.001,Validation,1,0.5844644537024594,0.0,0.0,0.0
0.001,Test,0,0.5845988442413654,0.5845988442413654,0.7378509032312781,1.0
0.001,Test,1,0.5845988442413654,0.0,0.0,0.0
0.001,Train,0,0.6153673835125448,0.6097002974147793,0.7563502199517526,0.9958893871449925
0.001,Train,1,0.6153673835125448,0.8817204301075269,0.08718766613503455,0.04586129753914989
0.001,Validation,0,0.5953500873538503,0.5911692559280458,0.7423633096603063,0.9974706829156128
0.001,Validation,1,0.5953500873538503,0.8932038834951457,0.057589984350547734,0.029754204398447608
0.001,Test,0,0.5962908211261927,0.5916893732970028,0.7430282292557742,0.9983908045977011
0.001,Test,1,0.5962908211261927,0.9306930693069307,0.05889724310776942,0.030410870268521514
0.001,Train,0,0.6744324970131422,0.658205534990305,0.7740464344941956,0.9393710691823899
0.001,Train,1,0.6744324970131422,0.7644183773216031,0.41773504273504275,0.28739434031606026
0.001,Validation,0,0.6685929310576535,0.6509539842873177,0.7670508218401663,0.933547942055645
0.001,Validation,1,0.6685929310576535,0.7599667774086378,0.4259776536312849,0.2959249676584735
0.001,Test,0,0.6597231554898535,0.6448374760994264,0.7617165443252399,0.9303448275862068
0.001,Test,1,0.6597231554898535,0.7399141630901288,0.4050751879699248,0.2788741507602718
0.001,Train,0,0.6945564516129032,0.6884459763224936,0.7711288292068821,0.8763830599008012
0.001,Train,1,0.6945564516129032,0.7126385809312639,0.5409863659316614,0.43597395550732504
0.001,Validation,0,0.6956054293777718,0.6907027818448024,0.7691837358605931,0.8677856978615773
0.001,Validation,1,0.6956054293777718,0.7091552857865453,0.5531663049911225,0.4534282018111255
0.001,Test,0,0.6910361510549657,0.6867601529775997,0.7663855299258205,0.8668965517241379
0.001,Test,1,0.6910361510549657,0.703076923076923,0.5439396945050585,0.443545778065351
0.001,Train,0,0.703853046594982,0.7072393576344634,0.7705339165451642,0.846271160591734
0.001,Train,1,0.703853046594982,0.695835847917924,0.5825438928887204,0.5009776232891593
0.001,Validation,0,0.7055503292568204,0.7100856697819314,0.7690036900369004,0.8385835824327431
0.001,Validation,1,0.7055503292568204,0.6954446854663774,0.5940337224383917,0.5184346701164295
0.001,Test,0,0.6981588496169869,0.7039550213260953,0.763777871266302,0.8347126436781609
0.001,Test,1,0.6981588496169869,0.6850635129215944,0.582061778935616,0.5059851180847622
0.001,Train,0,0.705421146953405,0.7161489996683984,0.7666094776075253,0.8247199592668024
0.001,Train,1,0.705421146953405,0.6830840046029919,0.6007489120534358,0.5361271676300579
0.001,Validation,0,0.7094476548850961,0.7205971353641315,0.7676767676767676,0.8213382386755576
0.001,Validation,1,0.7094476548850961,0.6871980676328503,0.6122668579626973,0.5520698576972833
0.001,Test,0,0.702459346861981,0.7153225806451613,0.7621911922663802,0.8156321839080459
0.001,Test,1,0.702459346861981,0.6767432486900443,0.6026561378320172,0.54318990617923
0.001,Train,0,0.7071172555043522,0.7210890992485606,0.7635630877338018,0.8113539035906445
0.001,Train,1,0.7071172555043522,0.6804909801004277,0.6152682024550193,0.5614546570507902
0.001,Validation,0,0.7098508265018143,0.7265204799338022,0.7648916476097136,0.8075419636698091
0.001,Validation,1,0.7098508265018143,0.6789413118527042,0.6211616072995262,0.5724450194049159
0.001,Test,0,0.7044752049455718,0.7227169186166909,0.7604314195446127,0.8022988505747126
0.001,Test,1,0.7044752049455718,0.6707503828483921,0.6144134665965282,0.5668068586218052
0.001,Train,0,0.7091173835125448,0.7242237090410019,0.7647644927536232,0.8101132220303204
0.001,Train,1,0.7091173835125448,0.680703452726686,0.6189847417840375,0.5675275760021523
0.001,Validation,0,0.7109259508130628,0.7290537724051688,0.7648409314529354,0.8043228328351345
0.001,Validation,1,0.7109259508130628,0.6780174044646236,0.6249346120313862,0.5795601552393272
0.001,Test,0,0.7050127671011961,0.7248070102232422,0.7599256261620913,0.7986206896551724
0.001,Test,1,0.7050127671011961,0.6691842900302115,0.6175291862693849,0.5732772565512779
0.001,Train,0,0.7094782954998009,0.726707120362547,0.7642782131028355,0.8059459919925036
0.001,Train,1,0.7094782954998009,0.6777479134248126,0.6214813853936957,0.5738411785842615
0.001,Validation,0,0.7109259508130628,0.7309794031105507,0.7638080597342704,0.799724074499885
0.001,Validation,1,0.7109259508130628,0.6753633991800224,0.6275324675324675,0.5860284605433377
0.001,Test,0,0.7050127671011961,0.7256544502617801,0.7594520547945205,0.7965517241379311
0.001,Test,1,0.7050127671011961,0.6680420105026257,0.6187250303977766,0.5761889356195407
0.001,Train,0,0.7114376596030644,0.7302063005296906,0.7648841029384924,0.8030198513068139
0.001,Train,1,0.7114376596030644,0.6776621096199674,0.6265437467385633,0.5825965063618719
0.001,Validation,0,0.7121354656632173,0.7340402969247084,0.7636804942630185,0.795815129914923
0.001,Validation,1,0.7121354656632173,0.6742479823917829,0.6318322447576487,0.5944372574385511
0.001,Test,0,0.7062222819513506,0.7285593578369244,0.7593571114046676,0.7928735632183908
0.001,Test,1,0.7062222819513506,0.6671592168452161,0.6229734391169369,0.5842769330313814
0.01,Train,0,0.7217741935483871,0.7300242130750605,0.7952522255192879,0.8732802317161478
0.01,Train,1,0.7217741935483871,0.6982758620689655,0.5660377358490566,0.47591069330199764
0.01,Validation,0,0.7019217847063567,0.7006213519111278,0.7703933747412008,0.8555989882731663
0.01,Validation,1,0.7019217847063567,0.7051643192488263,0.5752585216392186,0.4857697283311772
0.01,Test,0,0.693858352371993,0.6944444444444444,0.7646207894193016,0.8505747126436781
0.01,Test,1,0.693858352371993,0.6923805016564126,0.5622598001537279,0.47330960854092524
0.01,Train,0,0.7195340501792115,0.7379679144385026,0.7791107974594214,0.8251121076233184
0.01,Train,1,0.7195340501792115,0.6820652173913043,0.6159509202453988,0.5615212527964206
0.01,Validation,0,0.709178873807284,0.7289876336197862,0.762719298245614,0.799724074499885
0.01,Validation,1,0.709178873807284,0.6737827715355805,0.6244359597362027,0.5818240620957309
0.01,Test,0,0.7059535008735385,0.7239950269374223,0.7615518744551003,0.8032183908045977
0.01,Test,1,0.7059535008735385,0.6726577437858509,0.6165439887837364,0.5690714978971206
0.01,Train,0,0.7174432497013142,0.7467424780857617,0.7691556857003417,0.7929559748427673
0.01,Train,1,0.7174432497013142,0.6674747474747474,0.6358737490377213,0.6071297317162808
0.01,Validation,0,0.7105227791963445,0.7431863505428762,0.7569397427217333,0.7712117728213382
0.01,Validation,1,0.7105227791963445,0.6601775956284153,0.6421926910299003,0.6251617076326003
0.01,Test,0,0.7077005778793173,0.7379129293371254,0.7561932518775922,0.7754022988505748
0.01,Test,1,0.7077005778793173,0.659581881533101,0.6351283341721188,0.6124231640245875
0.01,Train,0,0.7139336917562724,0.7456140350877193,0.76162030987493,0.7783288821060664
0.01,Train,1,0.7139336917562724,0.6637731481481481,0.6423970876505181,0.6223548562126967
0.01,Validation,0,0.7133449805133718,0.7511332728921124,0.7565346421641365,0.7620142561508393
0.01,Validation,1,0.7133449805133718,0.6583030703202377,0.6515275281816697,0.6448900388098319
0.01,Test,0,0.707163015723693,0.742895502349519,0.7529198321805194,0.7632183908045977
0.01,Test,1,0.707163015723693,0.6534320323014805,0.640606960250701,0.6282756389517955
0.01,Train,0,0.7149641577060932,0.7491880720401535,0.7613832420673617,0.773982003965228
0.01,Train,1,0.7149641577060932,0.6621067031463749,0.6461230392702192,0.6308928959374321
0.01,Validation,0,0.7164359629082112,0.7547212741751991,0.7586916742909423,0.7627040699011267
0.01,Validation,1,0.7164359629082112,0.6611950098489823,0.6562398175301402,0.6513583441138422
0.01,Test,0,0.7078349684182234,0.7439461883408072,0.7532349602724177,0.7627586206896552
0.01,Test,1,0.7078349684182234,0.6538074471653808,0.6419631093544137,0.630540278227111
0.01,Train,0,0.7142323775388292,0.7489803485354097,0.7600175581614097,0.7713849287169042
0.01,Train,1,0.7142323775388292,0.6611960007545746,0.6468579865276368,0.633128612716763
0.01,Validation,0,0.7173766966805537,0.7568618481244281,0.7588579291365669,0.760864566567027
0.01,Validation,1,0.7173766966805537,0.661127403062887,0.6586593085538062,0.6562095730918499
0.01,Test,0,0.7095820454240022,0.746342561332433,0.7542363243489139,0.7622988505747127
0.01,Test,1,0.7095820454240022,0.6551034022681788,0.6450977171949417,0.6353930766742155
0.01,Train,0,0.7139656938044034,0.7489800300622719,0.757396449704142,0.7660041726144724
0.01,Train,1,0.7139656938044034,0.6622820919175911,0.6515942932875964,0.6412459720730398
0.01,Validation,0,0.7195269453030506,0.7603591160220995,0.7599217761417232,0.7594849390664521
0.01,Validation,1,0.7195269453030506,0.6622537939941879,0.6627888188721927,0.6633247089262613
0.01,Test,0,0.7090444832683779,0.7481262775380423,0.7526562321489775,0.7572413793103449
0.01,Test,1,0.7090444832683779,0.6524028966425279,0.6467612987436776,0.6412164348107409
0.01,Train,0,0.71415770609319,0.7498121007140173,0.7577138517041678,0.7657839186336596
0.01,Train,1,0.71415770609319,0.6615363283416528,0.651508944421685,0.6417810061877859
0.01,Validation,0,0.7175110872194598,0.7589306291772298,0.7580570902394107,0.7571855598988273
0.01,Validation,1,0.7175110872194598,0.6595744680851063,0.6606393283823054,0.6617076326002588
0.01,Test,0,0.7095820454240022,0.7493734335839599,0.7527177022542625,0.7560919540229885
0.01,Test,1,0.7095820454240022,0.6523591087811271,0.6482174833143415,0.6441281138790036
0.01,Train,0,0.714605734767025,0.750291715285881,0.7584783249778826,0.7668455575432319
0.01,Train,1,0.714605734767025,0.66168108776267,0.6512561591337672,0.6411546292969218
0.01,Validation,0,0.71818303991399,0.7587316176470589,0.7589932191702103,0.7592550011496896
0.01,Validation,1,0.71818303991399,0.6610553577209453,0.6607345089791296,0.6604139715394567
0.01,Test,0,0.7099852170407204,0.7488646684831971,0.7534841215444368,0.7581609195402299
0.01,Test,1,0.7099852170407204,0.6536055317747778,0.6478459530026109,0.6421869945001618
0.01,Train,0,0.7141257112136553,0.7495881383855024,0.758304609673876,0.767226182264122
0.01,Train,1,0.7141257112136553,0.6613137058101929,0.6501836522120498,0.6394220401121414
0.01,Validation,0,0.7175110872194598,0.7586921482845959,0.7581684307409112,0.7576454357323522
0.01,Validation,1,0.7175110872194598,0.6597805035506779,0.6604200323101777,0.6610608020698577
0.01,Test,0,0.709178873807284,0.7480708125283704,0.752855185015989,0.7577011494252873
0.01,Test,1,0.709178873807284,0.6527182866556837,0.6467515507672217,0.6408929149142673
0.1,Train,0,0.7325268817204301,0.7620320855614974,0.7924921793534933,0.8254887762490949
0.1,Train,1,0.7325268817204301,0.6725543478260869,0.6238185255198487,0.581668625146886
0.1,Validation,0,0.7102539981185324,0.7320634920634921,0.7623980603923297,0.7953552540813981
0.1,Validation,1,0.7102539981185324,0.6723122238586157,0.6287878787878788,0.5905562742561449
0.1,Test,0,0.7050127671011961,0.7247132429614181,0.7599781301257518,0.7988505747126436
0.1,Test,1,0.7050127671011961,0.6693121693121693,0.6173958514903259,0.5729537366548043
0.1,Train,0,0.7219982078853047,0.7499129223267155,0.7762754642148909,0.804559043348281
0.1,Train,1,0.7219982078853047,0.6716886377903327,0.6329488317065957,0.598434004474273
0.1,Validation,0,0.7105227791963445,0.7410498572369866,0.7580319029431588,0.7758105311565877
0.1,Validation,1,0.7105227791963445,0.6623961218836565,0.6397993311036789,0.6186934023285899
0.1,Test,0,0.7094476548850961,0.7366940718303765,0.7590280873829692,0.7827586206896552
0.1,Test,1,0.7094476548850961,0.6647747428166016,0.6341793570219966,0.6062762859915884
0.1,Train,0,0.7183393070489845,0.7548182483532568,0.7664107010156056,0.7783647798742138
0.1,Train,1,0.7183393070489845,0.6607624181748171,0.6453553967657014,0.6306504961411246
0.1,Validation,0,0.7102539981185324,0.751433157532676,0.7524684270952927,0.7535065532306278
0.1,Validation,1,0.7102539981185324,0.6519480519480519,0.6506804925469863,0.6494178525226391
0.1,Test,0,0.7102539981185324,0.7469608284556506,0.7547770700636943,0.7627586206896552
0.1,Test,1,0.7102539981185324,0.6558852950983661,0.6459770114942529,0.6363636363636364
0.1,Train,0,0.7165098566308243,0.7526561043802423,0.761383991703592,0.7703166730255627
0.1,Train,1,0.7165098566308243,0.6620825147347741,0.6508483928817768,0.6399891481280521
0.1,Validation,0,0.7126730278188416,0.7566751799396332,0.753003696857671,0.7493676707289032
0.1,Validation,1,0.7126730278188416,0.6522016592214422,0.6566013491808544,0.6610608020698577
0.1,Test,0,0.70931326434619,0.749259174834739,0.7524321849605128,0.755632183908046
0.1,Test,1,0.70931326434619,0.6519318925998691,0.6480065093572009,0.6441281138790036
0.1,Train,0,0.7170250896057347,0.7553719008264462,0.7609748713290948,0.7666615830410248
0.1,Train,1,0.7170250896057347,0.660377358490566,0.6532718489240228,0.6463176189441668
0.1,Validation,0,0.7161671818303992,0.7595729867718728,0.7560637560637561,0.7525868015635778
0.1,Validation,1,0.7161671818303992,0.6564495530012772,0.6606683804627249,0.6649417852522639
0.1,Test,0,0.7098508265018143,0.7506291466483642,0.7524366471734892,0.7542528735632184
0.1,Test,1,0.7098508265018143,0.6517915309446254,0.649569875020289,0.6473633128437399
0.1,Train,0,0.7140830346475507,0.7533660500817919,0.7577042333734101,0.7620926680244399
0.1,Train,1,0.7140830346475507,0.6567493112947659,0.6513068026591385,0.6459537572254336
0.1,Validation,0,0.7148232764413386,0.7597387450431538,0.7542843909217231,0.7489077948953783
0.1,Validation,1,0.7148232764413386,0.6537729866835764,0.6602625680435479,0.666882276843467
0.1,Test,0,0.70931326434619,0.7514371119797655,0.7513507299689619,0.751264367816092
0.1,Test,1,0.70931326434619,0.6500646830530401,0.6501698204754973,0.6502749919120026
0.1,Train,0,0.7140296979006656,0.7517638120047758,0.756113537117904,0.7605138904139673
0.1,Train,1,0.7140296979006656,0.6598034627983154,0.6543935643564357,0.6490716587386834
0.1,Validation,0,0.718048649375084,0.7631517418751461,0.7567818223974032,0.7505173603127155
0.1,Validation,1,0.718048649375084,0.6570796460176991,0.6646419437340153,0.6723803363518758
0.1,Test,0,0.7085069211127537,0.7508626639061422,0.7506036564332529,0.7503448275862069
0.1,Test,1,0.7085069211127537,0.6489980607627667,0.6493128536782539,0.6496279521190553
0.1,Train,0,0.7143817204301075,0.7520841227737779,0.7568881685575365,0.7617539819612359
0.1,Train,1,0.7143817204301075,0.6598630136986301,0.6538618162074115,0.6479687920365886
0.1,Validation,0,0.7184518209918022,0.7625815470643057,0.7575512093507696,0.7525868015635778
0.1,Validation,1,0.7184518209918022,0.6583042235630359,0.6643166159269348,0.6704398447606728
0.1,Test,0,0.7087757021905657,0.7514397604238655,0.7506616039581175,0.7498850574712643
0.1,Test,1,0.7087757021905657,0.6490322580645161,0.6499757712808916,0.6509220317049499
0.1,Train,0,0.7152528872958981,0.7531757382013965,0.7578938457631423,0.7626714370900417
0.1,Train,1,0.7152528872958981,0.6602853310571881,0.654380664652568,0.6485806683435142
0.1,Validation,0,0.7168391345249294,0.7608189855746859,0.7563316757256852,0.7518969878132904
0.1,Validation,1,0.7168391345249294,0.6566974228444161,0.6620689655172414,0.6675291073738681
0.1,Test,0,0.7099852170407204,0.7514915098669114,0.7521819016995865,0.7528735632183908
0.1,Test,1,0.7099852170407204,0.6513136555303276,0.6504697116942015,0.6496279521190553
0.1,Train,0,0.7152457327180682,0.7529296136690103,0.7580878434954708,0.7633172376791599
0.1,Train,1,0.7152457327180682,0.6604354519463382,0.6539634146341463,0.6476169937459564
0.1,Validation,0,0.71818303991399,0.7613741875580315,0.7577682800046205,0.7541963669809152
0.1,Validation,1,0.71818303991399,0.6587934886690073,0.6631325301204819,0.6675291073738681
0.1,Test,0,0.7107915602741567,0.7525275735294118,0.7527005286141117,0.7528735632183908
0.1,Test,1,0.7107915602741567,0.6519909355778569,0.6517799352750809,0.6515690714978971
1.0,Train,0,0.7338709677419355,0.7646267652992602,0.7928870292887029,0.8233164373642288
1.0,Train,1,0.7338709677419355,0.6724832214765101,0.6278195488721805,0.5887191539365453
1.0,Validation,0,0.7110603413519688,0.736604260813428,0.7610048910626945,0.7870774890779489
1.0,Validation,1,0.7110603413519688,0.6685755189692197,0.6347264695888549,0.6041397153945667
1.0,Test,0,0.7059535008735385,0.7290254237288135,0.7587651598676957,0.7910344827586206
1.0,Test,1,0.7059535008735385,0.6659316427783903,0.6235375086028906,0.5862180524102232
1.0,Train,0,0.7219982078853047,0.7506112469437652,0.7759523379671421,0.8030642750373692
1.0,Train,1,0.7219982078853047,0.6708307307932542,0.6338152847447625,0.6006711409395973
1.0,Validation,0,0.7095820454240022,0.7419283502874834,0.7563972494645474,0.7714417107381007
1.0,Validation,1,0.7095820454240022,0.6594724220623501,0.6404924305440026,0.6225743855109961
1.0,Test,0,0.7090444832683779,0.7371391360972434,0.7582896058948309,0.7806896551724138
1.0,Test,1,0.7090444832683779,0.6633733239237827,0.6345991561181434,0.6082174053704302
1.0,Train,0,0.7195340501792115,0.7565451431367751,0.7670553212602332,0.7778616352201257
1.0,Train,1,0.7195340501792115,0.6615561517822921,0.6476547842401501,0.6343256155825064
1.0,Validation,0,0.7101196075796264,0.7530009233610342,0.7515263218523212,0.7500574844791906
