C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6106115107913669,0.6106115107913669,0.7582356225572306,1.0
0.001,Train,1,0.6106115107913669,0.0,0.0,0.0
0.001,Validation,0,0.5885922330097088,0.5885922330097088,0.7410236822001528,1.0
0.001,Validation,1,0.5885922330097088,0.0,0.0,0.0
0.001,Test,0,0.5885922330097088,0.5885922330097088,0.7410236822001528,1.0
0.001,Test,1,0.5885922330097088,0.0,0.0,0.0
0.001,Train,0,0.6205888963812093,0.610981308411215,0.7559988435964151,0.9912812736921911
0.001,Train,1,0.6205888963812093,0.863905325443787,0.14747474747474748,0.08061844284925455
0.001,Validation,0,0.6193365695792881,0.6083473861720068,0.7541154951659264,0.9917525773195877
0.001,Validation,1,0.6193365695792881,0.88,0.1575649059982095,0.08652900688298919
0.001,Test,0,0.6204153182308522,0.6091241903689102,0.7545129502049359,0.99106529209622
0.001,Test,1,0.6204153182308522,0.8757961783439491,0.16344725111441308,0.0901343821697804
0.001,Train,0,0.6772550194785736,0.6601750938002501,0.7743084660519698,0.9361540410438307
0.001,Train,1,0.6772550194785736,0.766016713091922,0.43375394321766564,0.3025302530253025
0.001,Validation,0,0.6769147788565264,0.6590725480691549,0.7729770703050975,0.9344788087056128
0.001,Validation,1,0.6769147788565264,0.7669111654441728,0.43992519869097707,0.3084234677155031
0.001,Test,0,0.6794768069039914,0.6613112625770854,0.7741996770209937,0.9335624284077892
0.001,Test,1,0.6794768069039914,0.7687400318979266,0.4478513356562137,0.31596197967879386
0.001,Train,0,0.690414653331835,0.6838344745459959,0.7693209411370677,0.8792344497607656
0.001,Train,1,0.690414653331835,0.7106831728564879,0.5294619982920581,0.42188350571584105
0.001,Validation,0,0.6966019417475728,0.6874003189792663,0.7751798561151079,0.8886597938144329
0.001,Validation,1,0.6966019417475728,0.7258883248730964,0.5335820895522388,0.4218289085545723
0.001,Test,0,0.6957928802588996,0.6880014262791941,0.7738119109685182,0.884077892325315
0.001,Test,1,0.6957928802588996,0.719977863862756,0.5356113627006999,0.42641756801048836
0.001,Train,0,0.6960625674217907,0.695139911634757,0.770140730165205,0.8632830361225423
0.001,Train,1,0.6960625674217907,0.6985887096774194,0.5515320334261838,0.4556213017751479
0.001,Validation,0,0.7026699029126213,0.698237885462555,0.7752980739834913,0.8714776632302406
0.001,Validation,1,0.7026699029126213,0.7149390243902439,0.5606694560669456,0.4611602753195674
0.001,Test,0,0.7010517799352751,0.6978629329403095,0.7736138057796386,0.8678121420389462
0.001,Test,1,0.7010517799352751,0.709758551307847,0.5600317523318119,0.46247132087840054
0.001,Train,0,0.7016781540305663,0.7075170357751278,0.7694534506716072,0.8432741116751269
0.001,Train,1,0.7016781540305663,0.6878159757330637,0.5774617996604414,0.49762253108997806
0.001,Validation,0,0.7106256742179072,0.7129149875263865,0.7758980785296575,0.8510882016036655
0.001,Validation,1,0.7106256742179072,0.7052154195011338,0.5917047184170472,0.5096689609963946
0.001,Test,0,0.7040183387270766,0.7075363427697016,0.7711873240904826,0.8474226804123711
0.001,Test,1,0.7040183387270766,0.6956124314442413,0.581026913533117,0.49885283513602097
0.001,Train,0,0.7015347075065819,0.7111173761864487,0.7650389242745931,0.8278087736571491
0.001,Train,1,0.7015347075065819,0.680859691808597,0.5909890883491729,0.5220771144278606
0.001,Validation,0,0.7165587918015103,0.72454852153205,0.776478094427903,0.836426116838488
0.001,Validation,1,0.7165587918015103,0.6996213714766513,0.6127487103905674,0.5450671910848902
0.001,Test,0,0.7084681769147788,0.7181620122796594,0.7703420437646059,0.8306987399770905
0.001,Test,1,0.7084681769147788,0.6877904520490071,0.6009597637504615,0.5335955424451
0.001,Train,0,0.7031688953815035,0.7159516867971678,0.7649179014817782,0.8210737485670615
0.001,Train,1,0.7031688953815035,0.6766787502157776,0.5974243694277224,0.5347885402455662
0.001,Validation,0,0.7144012944983819,0.7243858597962852,0.7740076824583867,0.8309278350515464
0.001,Validation,1,0.7144012944983819,0.6936488169364882,0.6120879120879121,0.5476892822025565
0.001,Test,0,0.7091423948220065,0.7200956937799043,0.7700671570195076,0.8274914089347079
0.001,Test,1,0.7091423948220065,0.68625,0.6042927903137039,0.5398230088495575
0.001,Train,0,0.7063876541976727,0.7220927610313463,0.7656928779243554,0.8148965049202579
0.001,Train,1,0.7063876541976727,0.6752976190476191,0.6068873286526245,0.5510625379477838
0.001,Validation,0,0.7156148867313916,0.7288961038961039,0.7730549876250942,0.8229095074455899
0.001,Validation,1,0.7156148867313916,0.6893086816720257,0.6192453511464163,0.5621107833497214
0.001,Test,0,0.7091423948220065,0.724025974025974,0.7678898095340579,0.8174112256586483
0.001,Test,1,0.7091423948220065,0.6796623794212219,0.6105795269904315,0.5542445099967224
0.001,Train,0,0.70702984537936,0.7248974008207935,0.7648120083712203,0.8093783412249885
0.001,Train,1,0.70702984537936,0.6727844782380703,0.6116076748897629,0.5606292331221324
0.001,Validation,0,0.7188511326860841,0.7336065573770492,0.7744726879394267,0.8201603665521191
0.001,Validation,1,0.7188511326860841,0.6904574132492114,0.6268122427062824,0.5739101933792199
0.001,Test,0,0.7091423948220065,0.7257668711656442,0.7669367909238249,0.8130584192439863
0.001,Test,1,0.7091423948220065,0.6769596199524941,0.6132329209252286,0.56047197640118
0.01,Train,0,0.7086330935251799,0.7175245098039216,0.7832775919732441,0.8622974963181149
0.01,Train,1,0.7086330935251799,0.6841216216216216,0.5555555555555556,0.4676674364896074
0.01,Validation,0,0.6967367853290184,0.6949152542372882,0.7703461656285102,0.8641466208476518
0.01,Validation,1,0.6967367853290184,0.7017102615694165,0.5536812859694383,0.45722713864306785
0.01,Test,0,0.6957928802588996,0.694952856350527,0.7691835481890731,0.8611683848797251
0.01,Test,1,0.6957928802588996,0.6980568011958147,0.5539739027283511,0.4591937069813176
0.01,Train,0,0.7152169026747583,0.7397691500524659,0.7695106421684555,0.8017437452615618
0.01,Train,1,0.7152169026747583,0.6710691823899371,0.6274625110261688,0.5891772501380452
0.01,Validation,0,0.7212783171521036,0.7441563960900978,0.77213096681733,0.802290950744559
0.01,Validation,1,0.7212783171521036,0.681549815498155,0.6412081235896546,0.605375286791216
0.01,Test,0,0.7130528586839266,0.7379281004041693,0.7652768585925436,0.7947308132875143
0.01,Test,1,0.7130528586839266,0.6699815837937385,0.6309399930627818,0.5961979678793838
0.01,Train,0,0.7106682649086006,0.7385234264079508,0.7637342469105591,0.7907271345325564
0.01,Train,1,0.7106682649086006,0.6625816993464052,0.6268599033816425,0.5947928126145948
0.01,Validation,0,0.7214131607335491,0.7473638906821606,0.7707501109631603,0.7956471935853379
0.01,Validation,1,0.7214131607335491,0.6778620440592271,0.6450171821305842,0.6152081284824648
0.01,Test,0,0.7117044228694714,0.7382837577573294,0.7634432396547909,0.7903780068728522
0.01,Test,1,0.7117044228694714,0.6664236237695953,0.6309975837072834,0.5991478203867584
0.01,Train,0,0.7080570850657377,0.7386879883699801,0.7578299776286354,0.7779904306220096
0.01,Train,1,0.7080570850657377,0.6584216725559482,0.6325318246110325,0.6086009798584648
0.01,Validation,0,0.7203344120819849,0.750711315386299,0.7678531452876651,0.7857961053837342
0.01,Validation,1,0.7203344120819849,0.6715841236389182,0.6483553747032893,0.626679777122255
0.01,Test,0,0.7142664509169363,0.7442366246193998,0.7635836215552828,0.783963344788087
0.01,Test,1,0.7142664509169363,0.6653655074520937,0.6389504174476061,0.6145526057030481
0.01,Train,0,0.707299532542251,0.7383528054233377,0.7587075737364755,0.7802164304221917
0.01,Train,1,0.707299532542251,0.6559293724648055,0.628055745944711,0.6024545255314486
0.01,Validation,0,0.7199298813376483,0.7492374727668846,0.7680625348967057,0.7878579610538373
0.01,Validation,1,0.7199298813376483,0.6723283793347488,0.6465883954398502,0.6227466404457555
0.01,Test,0,0.7139967637540453,0.7433839479392624,0.7636768802228412,0.7851088201603665
0.01,Test,1,0.7139967637540453,0.6657163221667854,0.6378692163223493,0.6122582759750901
0.01,Train,0,0.7093197482768954,0.7417210539037951,0.7598118113160827,0.7788071065989848
0.01,Train,1,0.7093197482768954,0.6564840362633031,0.6319483968886359,0.6091806876371617
0.01,Validation,0,0.7220873786407767,0.7526315789473684,0.7690756302521008,0.786254295532646
0.01,Validation,1,0.7220873786407767,0.6733193277310925,0.6510919248349416,0.6302851524090463
0.01,Test,0,0.7187162891046386,0.7480949270629218,0.7671355213217236,0.7871706758304696
0.01,Test,1,0.7187162891046386,0.6709174636911087,0.644875723527409,0.6207800721075057
0.01,Train,0,0.707635009310987,0.7405116376598868,0.7562503346003533,0.7726725741166174
0.01,Train,1,0.707635009310987,0.6556752278376139,0.6347958610732334,0.6152052238805971
0.01,Validation,0,0.7222222222222222,0.7550342996238105,0.7681224673570464,0.7816723940435281
0.01,Validation,1,0.7222222222222222,0.6710390058681395,0.6536650975117687,0.6371681415929203
0.01,Test,0,0.7196601941747572,0.751984126984127,0.7664307381193124,0.7814432989690722
0.01,Test,1,0.7196601941747572,0.66875,0.6494688922610015,0.6312684365781711
0.01,Train,0,0.707776154624115,0.7423391920493236,0.7562221701429576,0.7706343141001146
0.01,Train,1,0.707776154624115,0.6535853412206031,0.6352990673865788,0.6180081855388813
0.01,Validation,0,0.7215480043149946,0.7547629596809925,0.7674287645005068,0.7805269186712486
0.01,Validation,1,0.7215480043149946,0.669882839421089,0.6531160759281035,0.6371681415929203
0.01,Test,0,0.7203344120819849,0.7533731475337315,0.7665991447220346,0.7802978235967927
0.01,Test,1,0.7203344120819849,0.6687392055267702,0.6511940800538177,0.634546050475254
0.01,Train,0,0.7098336912550567,0.7451205510907003,0.7577349678925861,0.7707838479809976
0.01,Train,1,0.7098336912550567,0.6548729084174224,0.6383217131474104,0.6225865209471767
0.01,Validation,0,0.721143473570658,0.7555061179087875,0.7665914221218961,0.7780068728522337
0.01,Validation,1,0.721143473570658,0.6682642930503252,0.6537173476222371,0.6397902327105867
0.01,Test,0,0.7191208198489751,0.7524336283185841,0.7655599324704558,0.7791523482245132
0.01,Test,1,0.7191208198489751,0.6671270718232044,0.6497393643854044,0.6332350049164208
0.01,Train,0,0.7102211434735707,0.7457664719367004,0.7577863771273998,0.7702000916450282
0.01,Train,1,0.7102211434735707,0.6551289398280802,0.6394093629397617,0.624426480227223
0.01,Validation,0,0.720873786407767,0.7555110220440882,0.766260162601626,0.777319587628866
0.01,Validation,1,0.720873786407767,0.6676923076923077,0.6536144578313253,0.640117994100295
