C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6204118173679498,0.6204118173679498,0.7657458563535912,1.0
0.001,Train,1,0.6204118173679498,0.0,0.0,0.0
0.001,Validation,0,0.5871140939597316,0.5871140939597316,0.739851150202977,1.0
0.001,Validation,1,0.5871140939597316,0.0,0.0,0.0
0.001,Test,0,0.587248322147651,0.587248322147651,0.7399577167019028,1.0
0.001,Test,1,0.587248322147651,0.0,0.0,0.0
0.001,Train,0,0.607518460505706,0.6061151079136691,0.7545479988804926,0.9992587101556709
0.001,Train,1,0.607518460505706,0.9047619047619048,0.021205357142857144,0.010728402032749858
0.001,Validation,0,0.5919463087248322,0.5899649312112221,0.7421106209704784,1.0
0.001,Validation,1,0.5919463087248322,1.0,0.02313624678663239,0.011703511053315995
0.001,Test,0,0.5912751677852349,0.5896468050687517,0.7417959806664971,0.9997714285714285
0.001,Test,1,0.5912751677852349,0.96875,0.019954940457032506,0.010081300813008131
0.001,Train,0,0.6613961813842482,0.6434694906707009,0.7713076768083821,0.9625345737993463
0.001,Train,1,0.6613961813842482,0.8026490066225166,0.34807581849511776,0.2222222222222222
0.001,Validation,0,0.6575838926174497,0.6380851386153613,0.7675626423690205,0.9629629629629629
0.001,Validation,1,0.6575838926174497,0.8091872791519434,0.35006369426751593,0.22334200260078024
0.001,Test,0,0.6518120805369128,0.6350265352539803,0.7635369188696445,0.9572571428571428
0.001,Test,1,0.6518120805369128,0.7812865497076024,0.33994910941475825,0.21723577235772357
0.001,Train,0,0.6803893052914196,0.6697131608548932,0.76928046515384,0.9036236008347562
0.001,Train,1,0.6803893052914196,0.7219485495347564,0.4800727934485896,0.3595965103598691
0.001,Validation,0,0.6842953020134228,0.6708347414667117,0.77147298872911,0.9076360310928212
0.001,Validation,1,0.6842953020134228,0.7362924281984334,0.4895833333333333,0.36671001300390116
0.001,Test,0,0.6791946308724832,0.6676237122107752,0.7678710178710179,0.9035428571428571
0.001,Test,1,0.6791946308724832,0.724002616088947,0.4808861859252824,0.36
0.001,Train,0,0.6961696796133883,0.6925405667231775,0.7711184521000471,0.869809885931559
0.001,Train,1,0.6961696796133883,0.7064471879286695,0.5482368596141052,0.44792346162209173
0.001,Validation,0,0.6986577181208053,0.693369663941871,0.7727502783682559,0.8726566072245084
0.001,Validation,1,0.6986577181208053,0.7136246786632391,0.5528779127663812,0.45123537061118335
0.001,Test,0,0.6953020134228188,0.6904977375565611,0.7707070707070707,0.872
0.001,Test,1,0.6953020134228188,0.7090909090909091,0.546,0.44390243902439025
0.001,Train,0,0.7031844283690059,0.7061060638073103,0.7705787410652525,0.8480081197665567
0.001,Train,1,0.7031844283690059,0.6961704286076591,0.5797254487856388,0.4966527953681925
0.001,Validation,0,0.7010738255033557,0.7042816365366318,0.7687194931976321,0.8461362597165066
0.001,Validation,1,0.7010738255033557,0.6933940774487471,0.577499525706697,0.49479843953185954
0.001,Test,0,0.7014765100671141,0.7038862559241706,0.7695336787564767,0.8486857142857143
0.001,Test,1,0.7014765100671141,0.6956321839080459,0.5763809523809523,0.4920325203252032
0.001,Train,0,0.704167732037842,0.7122619382681302,0.7664041994750657,0.8294548235551186
0.001,Train,1,0.704167732037842,0.6868605817452357,0.5967235970721506,0.5274996148513326
0.001,Validation,0,0.7073825503355705,0.7169699367088608,0.7688229056203606,0.8287608596250572
0.001,Validation,1,0.7073825503355705,0.6871345029239766,0.6014625228519196,0.5347854356306893
0.001,Test,0,0.7068456375838926,0.7156071639441055,0.7690355329949239,0.8310857142857143
0.001,Test,1,0.7068456375838926,0.6880540312368087,0.5988243938280676,0.5300813008130081
0.001,Train,0,0.7021645505900778,0.7134942946915827,0.7642031616702829,0.8226713700066737
0.001,Train,1,0.7021645505900778,0.6784788245462403,0.5958254269449715,0.5311231393775372
0.001,Validation,0,0.7076510067114093,0.7185509554140127,0.768248563524154,0.82533150434385
0.001,Validation,1,0.7076510067114093,0.685078318219291,0.604143947655398,0.5403120936280884
0.001,Test,0,0.7077852348993289,0.7174515235457064,0.7691165553080921,0.8288
0.001,Test,1,0.7077852348993289,0.6873956594323873,0.602083714129044,0.535609756097561
0.001,Train,0,0.7030923734712141,0.7159645232815964,0.7643809674110313,0.8198205822613406
0.001,Train,1,0.7030923734712141,0.676640340218712,0.5987098508265019,0.5368763557483731
0.001,Validation,0,0.7076510067114093,0.7206591639871383,0.7670588235294118,0.8198445358939186
0.001,Validation,1,0.7076510067114093,0.6814874696847211,0.6075675675675676,0.548114434330299
0.001,Test,0,0.7076510067114093,0.7193052505490117,0.7679028132992327,0.8235428571428571
0.001,Test,1,0.7076510067114093,0.6837361736993036,0.6051486584481508,0.5427642276422764
