C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6017101710171017,0.6017101710171017,0.7513346445630795,1.0
0.001,Train,1,0.6017101710171017,0.0,0.0,0.0
0.001,Validation,0,0.5845593197462545,0.5845593197462545,0.7378194207836457,1.0
0.001,Validation,1,0.5845593197462545,0.0,0.0,0.0
0.001,Test,0,0.5846942907274936,0.5846942907274936,0.7379269227493399,1.0
0.001,Test,1,0.5846942907274936,0.0,0.0,0.0
0.001,Train,0,0.6017997750281214,0.5983606557377049,0.7480785653287788,0.9977220956719818
0.001,Train,1,0.6017997750281214,0.8867924528301887,0.05042918454935622,0.025952512424075095
0.001,Validation,0,0.5936023754892699,0.5900409276944065,0.7417888688791698,0.9986146386515816
0.001,Validation,1,0.5936023754892699,0.9240506329113924,0.04624643649033893,0.023716699155295645
0.001,Test,0,0.5923876366581186,0.5894952251023192,0.7410392728519979,0.997460757156048
0.001,Test,1,0.5923876366581186,0.8607594936708861,0.043092522179974654,0.022099447513812154
0.001,Train,0,0.6675164967006598,0.6485971596813301,0.7716081178530957,0.9521993389270277
0.001,Train,1,0.6675164967006598,0.7897091722595079,0.38908790300358226,0.25813528336380254
0.001,Validation,0,0.6601430692401133,0.641397597878646,0.7655929994414448,0.9494343107827291
0.001,Validation,1,0.6601430692401133,0.7805611222444889,0.38223748773307165,0.25308641975308643
0.001,Test,0,0.6566338237278985,0.6397311659893716,0.7629077353215284,0.9448291782086796
0.001,Test,1,0.6566338237278985,0.7636003956478734,0.3776908023483366,0.25089372765680856
0.001,Train,0,0.6910011248593926,0.6829634073185363,0.76828342471531,0.8779641411220359
0.001,Train,1,0.6910011248593926,0.7151215121512151,0.5363713080168776,0.42911153119092627
0.001,Validation,0,0.6951005533810231,0.685663082437276,0.772071435778428,0.8833987531747864
0.001,Validation,1,0.6951005533810231,0.7238928376161837,0.5396372529040147,0.4301494476933073
0.001,Test,0,0.6833580780132271,0.6769422665716323,0.7640788415124699,0.8769621421975993
0.001,Test,1,0.6833580780132271,0.7033945464663328,0.5186704965121051,0.4107897302567436
