C,Dataset,Class,Accuracy,Precision,F1,Recall
0.001,Train,0,0.6012601260126013,0.6012601260126013,0.7509836987071389,1.0
0.001,Train,1,0.6012601260126013,0.0,0.0,0.0
0.001,Validation,0,0.5857972188470366,0.5857972188470366,0.7388046994721608,1.0
0.001,Validation,1,0.5857972188470366,0.0,0.0,0.0
0.001,Test,0,0.585932226272445,0.585932226272445,0.7389120626542948,1.0
0.001,Test,1,0.585932226272445,0.0,0.0,0.0
0.001,Train,0,0.6014851485148515,0.5999095840867993,0.7498234213872016,0.9996233521657251
0.001,Train,1,0.6014851485148515,0.95,0.021006080707573246,0.010620458356623811
0.001,Validation,0,0.5895774267584717,0.5881395033247387,0.7403484796720191,0.9988476607513251
0.001,Validation,1,0.5895774267584717,0.868421052631579,0.021249195106245976,0.01075619295958279
0.001,Test,0,0.5916025381395976,0.5893949694085656,0.7413424540401881,0.9988479262672811
0.001,Test,1,0.5916025381395976,0.9038461538461539,0.03013786470022443,0.015324421258558853
0.001,Train,0,0.6633663366336634,0.6468579234972678,0.7714867617107943,0.9556004036326943
0.001,Train,1,0.6633663366336634,0.782716049382716,0.36104783599088835,0.23464100666173204
0.001,Validation,0,0.6542459835290941,0.6371490280777538,0.7633305609463081,0.951832219405393
0.001,Validation,1,0.6542459835290941,0.774054054054054,0.3586275982970198,0.2333767926988266
0.001,Test,0,0.6553260429323613,0.6371029614853461,0.7648521691074882,0.9566820276497696
0.001,Test,1,0.6553260429323613,0.7887640449438202,0.354814253222138,0.22888816432996414
0.001,Train,0,0.6917191719171917,0.6838202580453804,0.7709413141615115,0.8835025867024334
0.001,Train,1,0.6917191719171917,0.7165501165501166,0.5287237702098383,0.4189152357590624
0.001,Validation,0,0.6917780477926286,0.6811134601832276,0.7720419370943584,0.890988707075363
0.001,Validation,1,0.6917780477926286,0.7267475447718083,0.5242758908105856,0.41003911342894395
0.001,Test,0,0.6924530849196706,0.6817060274938315,0.7725184741362093,0.8912442396313364
0.001,Test,1,0.6924530849196706,0.7276399307559146,0.5254166666666666,0.4111509618519726
0.001,Train,0,0.7019801980198019,0.7013263263263263,0.7719854004545141,0.8584775616480319
0.001,Train,1,0.7019801980198019,0.7036561898652983,0.5699441485907261,0.47893473040820783
0.001,Validation,0,0.6992034561900905,0.6974004114456704,0.769977286805699,0.8594146116616732
0.001,Validation,1,0.6992034561900905,0.7038834951456311,0.5655226209048362,0.4726205997392438
0.001,Test,0,0.6985284190630485,0.6965118448050737,0.7698175445830326,0.8603686635944701
0.001,Test,1,0.6985284190630485,0.7038123167155426,0.5632700958341482,0.46951418324095207
0.001,Train,0,0.703045304530453,0.707032920051304,0.7696782826226075,0.8445040214477212
0.001,Train,1,0.703045304530453,0.6936619718309859,0.5821635883905013,0.5015457355882887
0.001,Validation,0,0.7039287160793843,0.7048491790759832,0.7710138874386551,0.8508873012214796
0.001,Validation,1,0.7039287160793843,0.7017058552328261,0.5812488065686462,0.49608865710560623
0.001,Test,0,0.7008235452949912,0.7034482758620689,0.7682008368200837,0.8460829493087557
0.001,Test,1,0.7008235452949912,0.6945587562871514,0.5782261134373811,0.49527225301597655
0.001,Train,0,0.7074707470747075,0.7169901520221819,0.7672396153059137,0.8250632632852899
0.001,Train,1,0.7074707470747075,0.6879293424926398,0.606401384083045,0.5421500386697602
0.001,Validation,0,0.7086539759686783,0.7158123886799921,0.7702299829642248,0.8336022124913575
0.001,Validation,1,0.7086539759686783,0.6932880203908242,0.6019918849133161,0.5319426336375489
0.001,Test,0,0.7052787903334683,0.7152265016962682,0.7665490321890707,0.8258064516129032
0.001,Test,1,0.7052787903334683,0.6844741235392321,0.6004027091341754,0.5347244864688621
0.001,Train,0,0.7076957695769577,0.7204328345591343,0.7663669064748202,0.8185572951685717
0.001,Train,1,0.7076957695769577,0.6823608542122078,0.6096754807692307,0.5509843856076035
0.001,Validation,0,0.7106790873498042,0.7195121951219512,0.7705813082111123,0.8294537911961282
0.001,Validation,1,0.7106790873498042,0.6923076923076923,0.608441439795359,0.5426988265971316
0.001,Test,0,0.7048737680572431,0.717049576783555,0.764996774887121,0.819815668202765
0.001,Test,1,0.7048737680572431,0.6801635991820041,0.6034107402031931,0.5422236713400718
0.001,Train,0,0.7073707370737073,0.7229950589129609,0.7647342606737959,0.8115880194555849
0.001,Train,1,0.7073707370737073,0.6773345024112232,0.613014151567253,0.5598502234569392
